Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
-1,3198489,84.0%,Equipment Work,Alteration Type 2,46.4%,2009,4,Large Commercial/Mixed - Equipment Work
0,1790,0.0%,Equipment Work,Alteration Type 2,0.0%,2019,N/A,Small Commercial/Mixed - Equipment Work
1,743,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
2,101,0.0%,Equipment Work,Alteration Type 2,0.0%,2022,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
3,376,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
4,1069,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
5,1431,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
6,572,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
7,453,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
8,611,0.0%,Equipment Work,Alteration Type 2,0.0%,1993,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
9,641,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
10,1252,0.0%,Equipment Work,Alteration Type 2,0.0%,1996,N/A,Small Commercial/Mixed - Equipment Work
11,843,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
12,799,0.0%,Equipment Work,Alteration Type 2,0.0%,1997,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
13,808,0.0%,Equipment Work,Alteration Type 2,0.0%,2003,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
14,1180,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
15,1456,0.0%,Equipment Work,Alteration Type 2,0.0%,2000,N/A,Small Commercial/Mixed - Equipment Work
16,1418,0.0%,Equipment Work,Alteration Type 2,0.0%,2005,N/A,Small Commercial/Mixed - Equipment Work
17,1349,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Small Commercial/Mixed - Equipment Work
18,447,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
19,249,0.0%,Equipment Work,Alteration Type 2,100.0%,2016,N/A,Specialized/Rare Residential - Equipment Work
20,537,0.0%,Equipment Work,Alteration Type 2,0.0%,2020,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
21,1007,0.0%,Equipment Work,Alteration Type 2,0.0%,2002,N/A,Small Commercial/Mixed - Equipment Work
22,421,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
23,1383,0.0%,Equipment Work,Alteration Type 2,0.0%,2013,N/A,Small Commercial/Mixed - Equipment Work
24,1203,0.0%,Equipment Work,Alteration Type 2,0.0%,2004,N/A,Small Commercial/Mixed - Equipment Work
