kmeans_cluster,Filing_Year,Filing_Month,n_permits,long_centroid,lat_centroid
0,1990,11,2,0.8128572866286079,0.9782281034532752
0,1991,6,1,0.2886072595093583,1.2634008532193626
0,1992,7,1,-0.2219086684610811,0.6711562882065069
0,1992,9,1,2.1961087779658595,-0.324641791675177
0,1993,10,1,-0.4952122793807007,0.1002865740608115
0,1996,5,1,-0.158933606045761,0.6487592188430089
0,1996,7,1,-0.3126386305610549,-0.486650317989844
0,1996,9,2,0.8335383809307686,-0.6744174398774646
0,1996,10,12,-0.20736960003273203,0.3688548259430192
0,1996,11,4,-2.163593813863238,-2.1920187460774767
0,1996,12,2,-0.42398352510451665,-0.24516430357974361
0,1997,1,1,2.046880705882798,0.5212046980032825
0,1997,5,1,1.2883791048854931,1.9629390442586323
0,1997,6,1,1.8993287342178784,-0.0871070449146265
0,1997,7,2,0.005087154923542447,0.19455346694075998
0,1997,8,1,-0.2074302484031233,0.6454304560470497
0,1997,12,5,0.2508839731283548,0.0652559325109421
0,1998,1,2,0.011350477538136616,0.13578245608018744
0,1998,2,3,-0.1097312371968297,0.2705776912694601
0,1998,3,3,0.5752094040086431,0.275741205212835
0,1998,4,3,1.369603813299121,-0.2537286598284438
0,1998,5,10,-0.2577849362894883,0.1323619557268575
0,1998,6,13,-0.179344539425341,-0.0535835203786991
0,1998,7,6,0.409214814257601,0.227356196383073
0,1998,8,15,-0.0406582568134797,0.0176703509668132
0,1998,9,11,-0.1756835832492105,0.0209073762054481
0,1998,10,18,-0.1540596824618839,-0.26730581831918043
0,1998,11,11,-0.1026519183259769,0.5717520921138874
0,1998,12,10,-0.05765634098661895,-0.21588036473083055
0,1999,1,12,-0.2812558556294895,0.1642145461821061
0,1999,2,8,0.13463207407156214,0.05082037259060475
0,1999,3,18,-0.24151463256088718,0.0535004198023157
0,1999,4,13,-0.0984285863517157,0.2646933822325175
0,1999,5,9,0.0778266049711477,0.4886640758676832
0,1999,6,13,-0.2545595456825028,-0.0078982168086062
0,1999,7,8,0.13788503211964165,0.6184858249110219
0,1999,8,12,-0.23511898622910427,-0.13278579580197358
0,1999,9,9,0.0758086682837839,0.4658345294479887
0,1999,10,17,-0.2055005275271665,0.0476161107653265
0,1999,11,7,0.0204753005372905,0.4146056563397324
0,1999,12,13,-0.0265437269777126,0.239321394937145
0,2000,1,12,-0.12508630188128056,0.3958584312230147
0,2000,2,14,-0.37329802792510147,0.16041399023394098
0,2000,6,5,-0.279877483575257,0.0209073762054481
0,2000,7,3,-0.489698791163614,-0.5006730589021293
0,2000,8,4,-0.1368851666657741,0.20202352518370995
0,2000,9,10,-0.410061967356408,0.27528251742602766
0,2000,11,1,-0.4443338101137838,0.4662539011388799
0,2000,12,3,-0.2467083384613299,0.4100187784712862
0,2001,1,2,-0.15336498294656456,-0.5105151882713211
0,2001,2,4,0.21544878435721745,-0.1277271247813216
0,2001,3,2,0.46567844708855877,0.3697656488340278
0,2001,4,2,-0.5456882640080049,-0.0985807922684413
0,2002,2,4,-0.5942510682237265,-0.10922890160601217
0,2002,3,3,-0.0319800263597987,0.6337142594343861
0,2002,4,6,-0.4973459993208006,-0.2586693825610677
0,2002,5,5,0.8827297228034504,0.1639393335099937
0,2002,6,1,-0.6060554464965014,0.396664411191347
0,2002,9,2,0.02619278781844185,-0.9701465614237053
0,2002,11,1,-0.0963224338527883,0.5738751612987675
0,2002,12,3,-0.0521373392814075,-0.1820029953308185
0,2003,1,2,-0.007042519154001302,0.448063654048993
0,2003,2,4,-0.34973889277361486,0.8082318569647438
0,2003,3,5,0.1908531134208765,-0.03020354861478
0,2003,6,2,-0.6448428361035317,-0.017963137388549152
0,2003,7,1,0.5930731058319476,1.731078920689579
0,2003,8,3,-0.1993805556061673,0.7935604004682568
0,2003,9,5,-0.0039163713349856,0.9392134308404992
0,2003,10,2,-1.1697765357616943,-1.6878422361394585
0,2003,11,8,-0.3214712386847372,0.4384181051598481
0,2004,2,3,-0.1149580240265696,0.5511111417057865
0,2004,3,2,-0.4742279432266622,-0.8102938677071817
0,2004,4,12,-0.35266655501684735,0.4195529317550556
0,2004,5,5,-0.1730701898343405,-0.1922513910254564
0,2004,6,2,-0.4692051554609085,0.30353768509585743
0,2004,8,1,-0.3340971267017388,-1.2188077633567318
0,2004,10,1,0.6131863108477745,1.924645166739424
0,2004,11,7,-0.1691886941294576,-0.4236790375383132
0,2004,12,5,-0.7076910882898662,-0.0583014519005721
0,2005,1,5,0.578307984386643,-0.3748877623830122
0,2005,5,1,2.409557960801128,0.1315428703932197
0,2005,6,4,-0.3140280295916936,-0.5136408179045806
0,2005,7,2,0.2218995655711885,0.7161339020483375
0,2005,8,5,-0.417869066671799,-0.0650376096845092
0,2005,9,2,0.3444588951482789,-0.23850022530512605
0,2006,2,3,0.6209713562101963,0.7654624971824647
0,2006,3,4,-2.193405244652834,-2.3789078084873525
0,2006,4,3,-0.1162592072458014,0.3026334148875481
0,2006,5,5,-0.3525342312995802,0.0899726515394602
0,2006,6,3,-0.5213241595767444,-0.8063950215189933
0,2006,7,1,-0.5272787268511792,0.0618354321576587
0,2006,10,1,-0.4157188062670898,0.4574733063620814
0,2006,11,3,-0.4894120897764239,0.0196754718636651
0,2007,1,12,-0.1137946780127297,-0.1584723118654679
0,2007,2,3,0.0485389555622602,0.0242623497321113
0,2007,4,4,0.390943114306324,-0.3151010857087549
0,2007,6,3,-0.0258821083917688,-0.2610021375913002
0,2007,7,3,0.5071178245279593,-0.6190014025435553
0,2007,8,1,-0.4584593669258004,0.2742471935642916
0,2007,9,14,-0.5094315654924841,-0.18339216405663922
0,2007,10,4,0.18631551261833126,0.3552252459909212
0,2007,11,2,0.1807193220779624,1.03190112719714
0,2007,12,5,0.4658328247586384,-0.6042709719031009
0,2008,7,1,0.4592938277331037,2.3172032800893425
0,2008,9,2,0.037467871222305,0.21560068367444665
0,2009,1,3,-0.1412132549162082,0.5167095576921605
0,2009,3,6,0.09803905277494462,-0.551089399359354
0,2009,4,9,0.2799400560322403,0.011772936564472
0,2009,5,3,0.4460283750829709,-1.3616955616425452
0,2009,6,6,0.08145999370626254,-0.1225832688859047
0,2009,7,1,0.6946977206487492,0.3887880866228579
0,2009,8,2,1.0278557596528766,0.6545911064186367
0,2009,10,1,0.1040708088843801,0.4316033151837991
0,2010,5,1,1.0401728923297189,1.515482555505719
0,2010,8,1,-0.3445065924555935,-0.5751246393901741
0,2011,9,1,0.5050557799348137,1.2965705328911123
0,2012,5,1,-2.477509778989828,-2.133588474715684
0,2013,5,1,-0.3249667902143034,0.9531313288300616
0,2013,8,1,1.0401728923297189,1.515482555505719
0,2013,11,12,-0.1434848120616217,0.3016111963911174
0,2013,12,4,0.1465081276911346,0.10901474737629499
0,2014,1,4,0.009889403160621951,1.0423067872759548
0,2014,2,5,1.2539639114345222,0.4865147959521923
0,2014,3,1,-0.5167589913329483,0.3097889443623763
0,2014,4,3,-0.5947638226279506,-0.5990157204023087
0,2014,5,1,-0.2979506979507509,-0.4459712639791816
0,2015,1,1,-0.3637155854039116,-1.3019613064295563
0,2015,12,1,2.1151597439628587,-1.5432572930422623
0,2016,2,1,-2.001375963540827,-1.2315068623697234
0,2016,10,1,1.346766945104048,-1.7832296377558612
0,2017,5,1,0.0604370631345669,-0.4259855818379349
0,2017,11,1,-0.254570572658909,-1.6217453260546215
0,2018,4,1,-0.5681336745395581,-0.7075412507705987
0,2018,6,1,1.8505674444261389,0.648287425690803
0,2018,7,2,-0.2965171910143304,-0.6781655743642683
0,2018,10,2,-0.2857934564321131,0.5848836681830757
0,2018,11,6,0.3634804294970635,0.2810619835403406
0,2018,12,6,0.9825789944144532,2.318317236143097
0,2019,1,3,-0.1131054919856134,0.6601477813221986
0,2019,2,2,-0.08457870395048295,-0.9892410787219017
0,2019,3,2,1.0448979517317978,0.03549364782721698
0,2019,5,2,0.9713755863573093,0.5351094906273999
0,2019,6,1,-0.5809580481324996,-0.042326011552843
0,2019,7,1,0.8052100784715781,0.1832828527496914
0,2019,9,3,0.4134987946023317,-0.5940749976696847
0,2019,11,1,1.7502550398049752,-0.2762960989413779
0,2019,12,1,-0.0360489806639018,-0.4565472938072932
0,2020,1,3,0.0351522061711881,0.726788564068561
0,2020,3,1,-0.0637377184899611,1.2976582782142565
0,2020,6,3,-0.4923452655078595,0.0954375888856049
0,2020,7,1,-0.1260732162721499,0.1792595055906823
0,2020,8,2,0.7505438427994666,1.0558511823532881
0,2020,9,2,-0.12301874379985346,0.9810588623664177
0,2020,10,1,-0.3947785780187546,0.4920714708557543
0,2020,12,7,1.512292888356648,-0.342098138306051
0,2021,1,1,1.9320788542272704,0.5339300077469782
0,2021,2,3,-0.1384785647605558,-0.4033264051675835
0,2021,3,4,-0.1559783763614345,-0.39062730615459174
0,2021,4,3,0.1844464401126873,0.503040661644053
0,2021,5,3,0.9829869925424258,-0.4088699747058401
0,2021,6,14,-0.237555948021082,-0.3872723326279286
0,2021,7,6,0.005737746533158346,0.7561183716961362
0,2021,8,12,-0.13718840851773023,-0.07790707844698361
0,2021,9,7,0.8072169881825356,-0.1573518031290138
0,2021,10,10,0.23533042286796402,0.3907997602023625
0,2021,11,13,-0.0728349740481776,-0.4614749111746116
0,2021,12,14,0.4350179391134852,0.013266948213108587
0,2022,1,11,0.224187663181368,-0.3215620308205797
0,2022,2,10,0.17531610362525193,0.009020809843441557
0,2022,3,15,-0.3922754543682609,-0.6070362039895298
0,2022,4,6,0.3188322019153652,0.5334385565467675
0,2022,5,9,-0.2279735054998921,-0.2807781338871944
0,2022,6,12,0.08154820951774783,-0.4032477729755647
0,2022,7,8,-0.075834311638286,-0.0546647130190973
0,2022,8,13,-0.1855637541341534,-0.0533738345332536
0,2022,9,10,-0.378127843603275,-1.4632097215546458
0,2022,10,5,-0.4029495675564931,-0.4174539890024983
0,2022,11,9,0.0862622419432637,0.055086169008323
0,2022,12,7,-0.2600068720409951,-0.048944221048845
0,2023,1,13,-0.1527915801719493,-0.5921091928689354
0,2023,2,6,0.6203207646006587,-0.21268920827090423
0,2023,3,6,-0.3413253097543898,0.07143511226809496
0,2023,4,5,-0.2521666917962285,-0.1230681674035092
0,2023,5,7,-0.3329613481290713,0.2494387369784492
0,2023,6,13,-0.2288666905909947,-0.1284020510962271
0,2023,7,5,0.3770766914404033,-0.29947949022525
0,2023,8,6,0.3299363671845393,-0.06803218566438851
0,2023,9,11,0.2620101923503414,-0.4439006162556163
0,2023,10,2,-0.27057071546477274,-0.25956054740411816
0,2023,11,2,0.8615358740969874,-0.6130122505838433
0,2024,1,4,-0.5611315445039411,-0.9917835195975796
0,2024,3,1,0.0302341746816076,-0.6765863778409602
0,2024,4,2,0.1175457740869375,0.8200594491827362
0,2024,6,1,-0.3797157282096969,-0.5118781462664844
1,2002,3,1,-0.7433082221720989,-0.1963664757417898
1,2003,1,1,-0.2329907797772859,-0.0992950346794029
1,2003,11,2,-0.6248840087577844,-0.21010089861656417
1,2005,7,1,-0.2793481887063452,-0.35874195228594
1,2006,3,1,0.5249704993748575,-1.1023141708626285
1,2006,7,1,1.4060148894846431,1.6402456335283124
1,2007,8,1,-0.5457930202840212,-0.0498484912571543
1,2007,12,2,1.6307446692120564,-0.3519402676752895
1,2008,2,1,0.4108523202580862,-0.0528103038237235
1,2008,4,1,-0.2961091928862011,-0.4262214784139913
1,2008,7,1,1.1309138814060988,2.255031426923398
1,2008,10,1,-2.3068232107660824,-2.0718622039713344
1,2009,5,1,2.1087751246076385,-0.6073638381229105
1,2009,6,1,-0.0992004747021925,-1.301948201064251
1,2009,7,1,1.6815680035967853,-0.5342096888033621
1,2009,12,1,-0.6577719659724895,0.0376691384733653
1,2010,4,1,-0.3495679746389258,0.3123575959686652
1,2011,6,2,-0.9872028869419702,-0.5400284710136378
2,1989,8,6,1.423806915961072,-0.18007650662603203
2,1989,9,293,1.1454474363464011,0.1932167196762541
2,1989,10,37,1.1131714763237337,0.4097435657992204
2,1989,11,7,0.5174611284232196,0.5059631581145196
2,1989,12,1,0.4788887648565819,1.333933929471214
2,1990,7,15,-0.1842074360327334,0.0251404092098097
2,1990,8,13,-0.4146491895530166,0.3999276471605928
2,1990,9,11,-0.2899892209653587,0.435679083804123
2,1990,10,594,-0.19048178562381224,0.42827455238783985
2,1990,11,2647,-0.1885851456771526,0.4242118891329144
2,1990,12,2529,-0.2525967438771703,0.4302534625539878
2,1991,7,37,0.0231438288343485,0.3454748541791
2,1991,8,38,-0.285324809933671,0.17638943058157705
2,1991,9,23,-0.0216146685117258,0.4438961478713913
2,1991,10,19,-0.1709750643118194,0.3138909237133112
2,1991,11,45,0.2183102847419338,0.3127900730248617
2,1991,12,20,-0.3098432920349329,0.40153305441460485
2,1992,7,107,-0.012892330152263,0.2386005998434841
2,1992,8,24,-0.22146758940365463,-0.14197265690426458
2,1992,9,302,-0.22733394086668252,0.42020164733930376
2,1992,10,189,-0.2964400021793297,0.3416218767696201
2,1992,11,26,-0.22608237904135725,0.4045145250290856
2,1992,12,23,-0.1600142497363971,-0.0040452393991263
2,1993,7,156,-0.2855453494623451,0.30698439617984474
2,1993,8,46,-0.1597496023018629,0.4375334929994969
2,1993,9,31,-0.1246397093357293,0.3643465802665918
2,1993,10,43,-0.2426614381100393,0.4396106934056217
2,1993,11,47,-0.3339317220553312,0.4396106934056217
2,1993,12,36,-0.3339317220553312,0.4396106934056217
2,1994,7,40,0.0308075774561445,0.329525624562168
2,1994,8,364,-0.27801943804609774,0.33214014494716554
2,1994,9,236,-0.21966467875676174,0.31674134067441173
2,1994,10,36,0.10865251759278555,0.23922965737972762
2,1994,11,118,-0.20476723359419005,0.43833292028513
2,1994,12,22,0.2153330011047164,0.3159877821674407
2,1995,7,29,-0.2417351720895613,0.4733832198830041
2,1995,8,33,0.0317228165002163,0.4396106934056217
2,1995,9,217,-0.2192291131876168,0.1882104701169168
2,1995,10,156,-0.39261729063771744,-0.2517038808836337
2,1995,11,267,-0.3239302544296058,0.4063623815418533
2,1995,12,17,-0.2064709014532697,0.4702379322017865
2,1996,7,41,-0.3339317220553312,0.2819138322873351
2,1996,8,30,-0.3232851763081931,0.3726553818911843
2,1996,9,64,-0.2443044575988061,0.31567325339931895
2,1996,10,465,-0.2340603964915157,0.2264126100787077
2,1996,11,165,-0.2050815024226309,0.4343161258089132
2,1996,12,46,-0.3339317220553312,0.29003915879718606
2,1997,7,36,-0.2845749755362419,0.4091996931376018
2,1997,8,32,0.002633652666955302,0.33540338091645794
2,1997,9,57,-0.3339317220553312,0.3643465802665918
2,1997,10,291,-0.2891732247092567,0.3613978730654212
2,1997,11,293,-0.2497517839571417,0.3323825942059212
2,1997,12,236,-0.2872820982508003,0.282804997130339
2,1998,5,1,-0.0560408889389463,1.2566909061660363
2,1998,7,6548,-0.27407178048269876,0.2592153395209743
2,1998,8,6392,-0.271491467997126,0.2691361010822315
2,1998,9,5961,-0.2760400957761559,0.2683759898926544
2,1998,10,6438,-0.2536001987326491,0.2629896847385285
2,1998,11,6470,-0.2775066836419521,0.2438558513442763
2,1998,12,6667,-0.2843213550781139,0.1856942399719427
2,1999,7,7489,-0.2653329016587049,0.2007916208418803
2,1999,8,7507,-0.3060224447005195,0.2386005998434841
2,1999,9,7082,-0.30134149320422243,0.1948286796129189
2,1999,10,6874,-0.2836707634685763,0.1946452044981773
2,1999,11,7220,-0.2887211186753456,0.2493994208824398
2,1999,12,7035,-0.2394856688970388,0.2442883284004729
2,2000,7,1412,-0.3084814604453881,0.2257114730330981
2,2000,8,1991,-0.2998473378974889,0.2391117090916994
2,2000,9,2688,-0.28904090099198965,0.16946979768285175
2,2000,10,32,-0.34649144821373845,0.01331936967447
2,2000,11,415,-0.2132855728895882,0.0298976568276921
2,2000,12,1835,-0.2592129297377057,0.2037010119470415
2,2001,7,22,-0.22644075577542322,-0.4228140834260133
2,2001,8,36,-0.3339317220553312,0.0306577680172692
2,2001,9,23,-0.028120584607885,-1.096718179863057
2,2001,10,22,0.04440935288760915,0.2362743974959043
2,2001,11,28,0.273379005053893,-0.5663047285173664
2,2001,12,33,-0.4370339517143353,-0.0020925399636824
2,2002,7,33,-0.2719821684484591,-0.5728049897252471
2,2002,8,34,-0.36819805132434713,0.0306577680172692
2,2002,9,29,-0.1629363984914264,-0.4433108748153822
2,2002,10,26,-0.1290560133974921,-0.7075412507705987
2,2002,11,410,-0.1289236896803817,-0.04600206653032715
2,2002,12,1937,-0.108143352590251,0.0861065687645818
2,2003,7,472,-0.1544676805899348,0.11243524772962496
2,2003,8,1128,-0.136295223426471,0.25500851724731666
2,2003,9,1710,-0.15296249830671677,0.1842657551500195
2,2003,10,2302,-0.1467763645271232,0.14639124932170233
2,2003,11,2076,-0.22440076513516855,-0.0017518004648101
2,2003,12,318,-0.21484589005499444,0.0252321467671339
2,2004,8,2,0.23985699669418142,0.18276519081877685
2,2004,9,290,-0.0121921171487405,0.20207594664507125
2,2004,10,2797,-0.062182914812758,0.085805145361812
2,2004,11,1983,-0.123603173550875,-0.0307932900550141
2,2004,12,1898,-0.1372104624705428,0.2495042638051626
2,2005,11,20,0.0546368735302901,0.19505147082366983
2,2005,12,36,-0.10516055546475214,-0.4327872664485854
3,2014,5,1,0.08250204297932,-1.4314423159741156
3,2014,12,2,-0.05300295693141599,-1.146177828650611
3,2015,1,2,0.11397303372221396,-0.6603488301865639
3,2015,2,1,0.8871294864006821,-0.3548103426844413
3,2015,3,29,-0.0348360132562336,-1.167120202461575
3,2015,4,69,-0.0578934209799024,-0.3614547629110542
3,2015,5,60,0.07654196221660364,-0.2780653232620802
3,2015,6,57,-0.1069414121589891,-0.4097218234528345
3,2015,7,30,0.3562136520270689,-0.1499538243954299
3,2015,8,47,-0.2716182782261117,-0.1041702305853135
3,2015,9,52,0.0828328522722919,0.3435156020609568
3,2015,10,48,-0.411815256609551,0.0298976568276921
3,2015,11,43,0.2828180968814878,0.2190867108544434
3,2015,12,92,0.042760819910639306,-0.2856664351584104
3,2016,1,56,-0.3169060704410195,0.0427671255901199
3,2016,2,38,0.0067412013886371,0.3255284881338628
3,2016,3,57,-0.1454035059610938,-0.4097218234528345
3,2016,4,65,-0.4259297864451613,-0.196484424029818
3,2016,5,69,-0.0578934209799024,-0.3614547629110542
3,2016,6,50,0.04919506066007925,-0.38113902164948443
3,2016,7,38,-0.3938192310689793,-0.4097218234528345
3,2016,8,53,-0.0994761491129763,-0.3614547629110542
3,2016,9,82,-0.3460228017153746,-0.4097218234528345
3,2016,10,57,-0.4259297864451613,-0.2330221825936294
3,2016,11,72,-0.4259297864451613,-0.4097218234528345
3,2016,12,74,0.024682092046942203,-0.378819371984604
3,2017,1,39,-0.3780286008153051,0.3502845232582972
3,2017,2,56,-0.19973893234031165,-0.0582359250738587
3,2017,3,70,-0.09466287389949055,-0.0524302482288418
3,2017,4,54,-0.20496020568184842,-0.22445782634488265
3,2017,5,101,-0.0764518223185263,-0.196484424029818
3,2017,6,56,-0.1522292043738186,-0.21453706478362544
3,2017,7,62,-0.06661024585108376,-0.3876523882227172
3,2017,8,64,-0.4114293124343126,-0.35181576670460857
3,2017,9,96,-0.0527383094970384,-0.3155335627649049
3,2017,10,78,-0.2668656513829387,-0.2269281877112412
3,2017,11,65,-0.1302303863878167,-0.1519654979748879
3,2017,12,71,0.0628188900444348,0.1422761646054621
3,2018,1,75,-0.1069414121589891,-0.0927685627408182
3,2018,2,35,-0.1061143889263243,-0.2673582397805419
3,2018,3,41,0.1054491809386126,0.2267795603081909
3,2018,4,58,0.03741273634011685,-0.13061685783843144
3,2018,5,84,0.0207620019246373,-0.18247478848293136
3,2018,6,68,0.4799969759882337,-0.1753651277868118
3,2018,7,72,-0.0079742986626825,-0.31162161121136434
3,2018,8,96,-0.04152387446348815,0.3208826361214025
3,2018,9,79,-0.2575588832725327,0.0341044791013497
3,2018,10,822,-0.14768609008299183,0.06846674701891964
3,2018,11,3393,-0.1607751111103109,0.1046113446225904
3,2018,12,623,-0.144488266917022,-0.0935286739304885
3,2019,1,862,-0.1494393793359781,0.1800916962897186
3,2019,2,1316,-0.2830367123235698,0.0899726515394602
3,2019,3,1420,-0.1266631595112962,0.160453306329997
3,2019,4,1601,-0.202457082031198,0.1531011963750286
3,2019,5,693,-0.2645279323790093,0.125461980876137
3,2019,6,388,-0.2128775747614589,0.24795783069521118
3,2019,7,180,-0.12191604615648316,0.1622815047947134
3,2019,8,149,-0.1438487022838907,0.0645482427826798
3,2019,9,109,-0.3017108969148514,0.0652035110496273
3,2019,10,122,-0.1527915801720276,0.027958062757553602
3,2019,11,126,0.0539201200620014,0.053271075908912
3,2019,12,143,0.007661953920912,-0.2233111068778177
3,2020,1,144,-0.113039330127019,0.2423749450610383
3,2020,2,80,-0.1756505023199133,0.01893501872199945
3,2020,3,74,-0.1932054488030584,-0.0719179264872716
3,2020,4,65,0.3203098167574893,-0.6560895864515913
3,2020,5,40,0.40056966473321715,-0.196484424029818
3,2020,6,171,-0.2458151533702273,0.3452389576030437
3,2020,7,300,-0.095296925044497,-0.0029312833453249
3,2020,8,215,-0.0200819187873353,-0.051735663865978
3,2020,9,248,0.09521063331960375,0.10347117783813156
3,2020,10,266,-0.1258802441845699,0.0297666031742653
3,2020,11,270,0.0889032027992277,-0.09683122599574365
3,2020,12,262,-0.045030452969539,-0.20740119335684845
3,2021,1,261,0.0996489913343358,0.2048804948275097
3,2021,2,204,0.03090682024403605,-0.088352054621715
3,2021,3,245,-0.0138075691963348,-0.088352054621715
3,2021,4,217,0.3203098167574893,-0.3002002853188178
3,2021,5,205,0.0273671608086097,0.0218771732404708
3,2021,6,256,0.1638259941809178,-0.094118415370676
3,2021,7,217,0.0898901171901754,0.0045125641670141
3,2021,8,213,0.1291461532955694,-0.0733333059437963
3,2021,9,227,0.2996562898963443,0.1984457604463423
3,2021,10,259,0.100244448061842,-0.1004089907331578
3,2021,11,225,0.0457822114536385,-0.0803053603038829
3,2021,12,253,0.1831232029406429,-0.0959138504220358
3,2022,1,281,0.0576362111203201,-0.182016100696124
3,2022,2,264,-0.0375651899236829,-0.14505897044151464
3,2022,3,472,0.0659726053044661,-0.24850617174110134
3,2022,4,371,0.0622454872697412,0.0827778059686226
3,2022,5,3579,-0.0188248434738853,-0.0180417695806144
3,2022,6,4451,0.0534790410046533,-0.1177211783453928
3,2022,7,3205,0.1092865687377137,-0.1485843137175208
3,2022,8,3570,0.20100895871676,-0.19186478274801516
3,2022,9,3246,0.1207435972528289,-0.1848861757052292
3,2022,10,3383,0.1741031362175837,-0.1394367687112392
3,2022,11,2929,0.098502185785262,-0.1860525532203454
3,2022,12,3167,0.1545192260705118,-0.2824818313811834
3,2023,1,2939,0.1212508381687715,-0.2391817043027309
3,2023,2,2702,0.1524020465951781,-0.22625326139624247
3,2023,3,3719,0.1711368795567726,-0.0944067334081869
3,2023,4,3019,0.1754704812954099,-0.1392926096925071
3,2023,5,2960,0.1228001283577714,-0.11348814534103116
3,2023,6,2933,0.0959218732996109,-0.1469461430502452
3,2023,7,2436,0.2565463255271614,-0.22107664208751548
3,2023,8,2774,0.2535635284018191,-0.3479955527083923
3,2023,9,2178,0.27343965342436266,-0.18284173871241444
3,2023,10,2331,0.2175935312736452,-0.2287105173972489
3,2023,11,1889,0.2775582291223724,-0.2115424888037461
3,2023,12,1425,-0.0389159945368997,-0.0511328170603453
3,2024,1,1257,-0.1237796051738456,-0.1536954061995809
3,2024,2,1078,-0.001556598378087,-0.0161218335585272
3,2024,3,1684,0.02826585938807205,-0.0430861227425132
3,2024,4,1370,0.1065629055584675,-0.00130621804335475
3,2024,5,1439,-0.0693504494950177,-0.0553134286033921
3,2024,6,1057,-0.1063349284550767,-0.0330212021625238
3,2024,7,464,0.0271797022092328,-0.0553134286033921
3,2024,8,2,0.21005107939278847,1.2185346349830006
3,2024,9,100,-0.3393790484137451,0.12659559497789655
3,2024,10,2,0.08146550719446571,-0.7749159339758807
3,2024,11,244,0.06600017274556019,-0.0606276542481519
3,2024,12,91,0.1545192260705118,-0.3543778656282448
3,2025,1,1,-0.5313807620846578,-1.2533404010236913
4,1989,5,3,0.4382323027439861,0.3125410710834068
4,1989,6,1,1.346766945104048,-1.7832296377558612
4,1990,1,10,1.2648751046161164,0.5450826736500185
4,1990,2,6,0.36402075134238154,0.41813099961583167
4,1990,3,4,0.8162535953703609,0.5571985839054754
4,1990,4,8,0.32658967983677123,0.2656566265848875
4,1990,5,17,0.5855085999981215,0.4728852160001873
4,1990,6,11,-0.4054967991127687,0.4153526621640972
4,1991,1,1599,-0.2482851960915023,0.4202278580700078
4,1991,2,13,-0.3954953314870433,0.3643465802665918
4,1991,3,18,0.5700928869432793,0.053991871002572855
4,1991,4,23,0.0540083358735651,0.3698246229780419
4,1991,5,19,0.1157814578574666,0.3643465802665918
4,1991,6,22,-0.06969228576447425,0.3922872191682998
4,1992,1,44,-0.2186887913422987,0.2904126617093219
4,1992,2,24,-0.42166234656519663,0.26492272612592116
4,1992,3,24,-0.0507369132742057,0.08989401934739485
4,1992,4,25,-0.1461533403586013,0.4271737016993904
4,1992,5,27,-0.0646750114870021,0.3274287661079919
4,1992,6,380,-0.2807265607606561,0.4074239161342933
4,1993,1,28,-0.3339317220553312,0.1588151356626282
4,1993,2,23,-0.4792452175041342,0.0648627715508481
4,1993,3,22,-0.29254747949804044,0.4396106934056217
4,1993,4,27,-0.3339317220553312,0.3684878757135361
4,1993,5,26,0.06721865364158819,0.27849333193395864
4,1993,6,324,-0.2637450170521263,0.05935851810864745
4,1994,1,36,-0.3339317220553312,0.4396106934056217
4,1994,2,15,-0.3339317220553312,0.4396106934056217
4,1994,3,32,-0.3339317220553312,0.4396106934056217
4,1994,4,34,-0.3339317220553312,0.4302600152366405
4,1994,5,20,0.16582187691546907,0.37225566824839096
4,1994,6,28,-0.23585228016200227,0.335573750665894
4,1995,1,34,-0.0783594892416706,0.46640461284021817
4,1995,2,28,-0.028120584607885,0.4396106934056217
4,1995,3,41,-0.0813257459024817,0.3990233769522835
4,1995,4,36,-0.2613687036305398,0.3885325319987968
4,1995,5,28,-0.21397475891670448,0.22853567926354126
4,1995,6,37,-0.3517182350434783,0.2514962793366159
4,1996,1,19,-0.2736362149134754,0.0168053968545133
4,1996,2,29,0.0476016625652191,0.3367466808636165
4,1996,3,34,-0.36543028023939755,0.10749452499704765
4,1996,4,26,-0.0674703500129675,0.4103791760181166
4,1996,5,38,-0.14983083699949795,-0.12679009115960896
4,1996,6,39,-0.3156379681510848,0.1719467117318164
4,1997,1,28,-0.3510069950635495,0.4067227790886371
4,1997,2,24,-0.3339317220553312,0.19709590781643793
4,1997,3,33,-0.3157151569860855,0.4178033654823579
4,1997,4,49,-0.2570847232859657,0.4245002071703788
4,1997,5,23,-0.2682991583193593,0.3624331969271573
4,1997,6,30,-0.3339317220553312,0.41455978756107026
4,1998,1,95,-0.3194643289737797,0.151712027649208
4,1998,2,117,-0.2063054968067054,0.1524721388387851
4,1998,3,121,-0.3339317220553312,0.2676289840682895
