kmeans_cluster,Filing_Year,Filing_Month,n_permits,long_centroid,lat_centroid
0,2001.0,10.0,1,-0.2808637410816454,-1.3936753809109204
0,2001.0,11.0,1,0.6000288760442619,1.3420754970071536
0,2002.0,3.0,3,-0.4562422919953172,-0.1963664757417898
0,2002.0,7.0,1,-0.4728894629792791,-0.2411611886960249
0,2002.0,8.0,2,0.6842665179493628,-0.1839495361683193
0,2002.0,10.0,1,-0.4489397559098931,0.0195354634516031
0,2003.0,1.0,2,-0.1772302746221532,-0.19132855910770524
0,2003.0,4.0,2,-0.4031491596704468,0.17603394397905756
0,2003.0,6.0,1,-0.2698767306432344,-1.3959884788529868
0,2003.0,8.0,2,0.5825188603267482,-0.9921377824038786
0,2003.0,9.0,2,0.2648255270629816,1.0490192342388394
0,2003.0,10.0,1,-2.731558744602706,-2.659393303988701
0,2003.0,11.0,2,-0.6248840087577844,-0.21010089861656417
0,2003.0,12.0,2,0.29065949540503727,0.10696744733542898
0,2004.0,1.0,1,1.342116820257442,0.4033166584457343
0,2004.0,3.0,1,-3.037143641193542,-2.6694260956918847
0,2004.0,8.0,1,0.4920026242017669,-0.5745635817685077
0,2004.0,9.0,2,-0.4943698174892383,-0.20147766145898538
0,2004.0,11.0,1,-1.75560547539371,-1.5851017381612318
0,2005.0,7.0,2,0.7507864076200143,-0.4938566869606217
0,2005.0,8.0,1,-0.3724545410279805,0.4191443017897274
0,2005.0,10.0,1,-0.3546056938755112,-1.788729469924948
0,2005.0,11.0,1,-0.1799056343541334,0.4369946168190972
0,2006.0,2.0,1,-0.7509591115647171,-0.048810310042264
0,2006.0,3.0,2,0.13110169645918146,-1.2830846621661425
0,2006.0,7.0,1,1.4060148894846431,1.6402456335283124
0,2006.0,8.0,1,0.9033478439134818,2.189616380676825
0,2007.0,5.0,2,0.17242793424277303,-0.2612308803831629
0,2007.0,7.0,1,0.5372290447595516,0.2846522545159408
0,2007.0,8.0,1,-0.5457930202840212,-0.0498484912571543
0,2007.0,11.0,1,1.6857342951486016,-0.555676795801421
0,2007.0,12.0,2,1.6307446692120564,-0.3519402676752895
0,2008.0,2.0,1,0.4108523202580862,-0.0528103038237235
0,2008.0,4.0,2,-0.3350570391214564,-0.4352245662268411
0,2008.0,7.0,1,1.1309138814060988,2.255031426923398
0,2008.0,10.0,1,-2.3068232107660824,-2.0718622039713344
0,2008.0,11.0,2,0.8058808489161231,-0.4588675377362956
0,2009.0,5.0,1,2.1087751246076385,-0.6073638381229105
0,2009.0,6.0,1,-0.0992004747021925,-1.301948201064251
0,2009.0,7.0,2,1.9439411683125467,-0.5970548386410577
0,2009.0,12.0,2,-0.2905112121716411,-0.1296220900639361
0,2010.0,2.0,1,-0.6013707097796337,-0.5483069210728204
0,2010.0,4.0,2,-0.5295970234035,0.10957698767555529
0,2011.0,3.0,1,-0.3399020354537782,-0.6360073678985286
0,2011.0,5.0,1,-0.2106921804511138,0.4409229080406449
0,2011.0,6.0,2,-0.9872028869419702,-0.5400284710136378
0,2013.0,11.0,1,-0.5412821320487904,-0.3338114579359195
1,1990.0,6.0,1,1.1690773871237885,1.4837225998106185
1,1990.0,9.0,1,1.256202237939019,-0.5150509762111837
1,1991.0,2.0,1,-0.5996846124141798,0.0038563393332217
1,2001.0,1.0,1,-0.3676119321742434,-0.0846181254156917
1,2001.0,2.0,1,0.6325947701210132,0.3529107043456636
1,2001.0,10.0,1,-0.3133747549862033,0.5759406593236971
1,2001.0,11.0,1,-0.5849218461408171,-1.3796390820355076
1,2001.0,12.0,2,0.0316349344340914,0.4909474525562816
1,2002.0,1.0,1,-0.5997449982326667,0.2223098529202914
1,2002.0,2.0,3,-0.1524565789471282,0.0216585384556681
1,2002.0,4.0,4,-0.24430512366675175,0.5169311929232623
1,2002.0,6.0,1,-0.3047433154341002,0.9544942868252716
1,2002.0,7.0,3,-0.5907830485125636,-0.0089576975615605
1,2002.0,8.0,2,0.518136683356236,-0.6153967790318728
